epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.40972725,1.4785368392253422,1e-04,0.5059717893600464,1.1973934173583984
1,0.48799178,1.3218390589106523,1e-04,0.5233442187309265,1.9834381341934204
2,0.5282404,1.2146994978685814,1e-04,0.5260586142539978,1.4885889291763306
3,0.5734371,1.1081672672945724,1e-04,0.5477741360664368,0.7953562140464783
4,0.6228578,0.995523942457775,1e-04,0.5418024063110352,0.9480836987495422
5,0.6648564,0.895637418394996,1e-04,0.5770901441574097,0.6152169704437256
6,0.7185011,0.7720429176946186,1e-04,0.5369163751602173,2.3952653408050537
7,0.77136135,0.6415878148664499,1e-04,0.5743756890296936,1.0690585374832153
8,0.81372195,0.5338293735907669,1e-04,0.5423452854156494,1.6873708963394165
9,0.8537895,0.42528423147392713,1e-04,0.5298588275909424,1.240058422088623
10,0.8788921,0.36063716394501716,1e-04,0.5293159484863281,1.748141884803772
11,0.90212405,0.286645144655266,1e-04,0.5537459254264832,2.7058117389678955
12,0.9213734,0.2353854209208587,1e-04,0.5602605938911438,1.7480735778808594
13,0.9347695,0.19651358574363292,1e-04,0.5537459254264832,1.90692937374115
14,0.9368815,0.18441759335371288,1e-04,0.579804539680481,1.2815495729446411
15,0.94876903,0.15622221200303246,1e-04,0.5608034729957581,0.8095136284828186
16,0.9555274,0.14045720635885073,1e-04,0.5760043263435364,2.801629066467285
17,0.9563722,0.13445944383609426,1e-04,0.5776330232620239,2.0593957901000977
18,0.96138066,0.11930031555910121,1e-04,0.5521172881126404,3.9587879180908203
19,0.9683201,0.10165223466527208,1e-04,0.5651465654373169,3.9957759380340576
